@relation '238454L1_2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Ldobry-R1,2-weka.filters.unsupervised.attribute.MergeManyValues-C1-Lzly-R1,2,3-weka.filters.unsupervised.attribute.Remove-Rlast-weka.filters.unsupervised.attribute.Reorder-R2-last,1-weka.filters.unsupervised.attribute.Discretize-B5-M-1.0-R2-precision6'

@attribute 'kwota wnioskowana' numeric
@attribute wiek {'\'(-inf-30.4]\'','\'(30.4-42.8]\'','\'(42.8-55.2]\'','\'(55.2-67.6]\'','\'(67.6-inf)\''}
@attribute plec {K,M}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pob. doch.' numeric
@attribute 'okres w jakim bedzie pobierac dochod' numeric
@attribute 'status pozyczki' {dobry,zly}

@data
300,'\'(55.2-67.6]\'',K,13,984,0,6,48,dobry
700,'\'(42.8-55.2]\'',K,11,1172.2,0,33,48,dobry
600,'\'(30.4-42.8]\'',M,11,2700,0,4,48,dobry
250,'\'(55.2-67.6]\'',K,13,1500,0,42,48,dobry
600,'\'(42.8-55.2]\'',K,11,1300,0,64,48,dobry
694.6,'\'(55.2-67.6]\'',K,13,1735,0,50,48,zly
600,'\'(42.8-55.2]\'',K,11,1700,0,85,48,dobry
500,'\'(42.8-55.2]\'',K,11,1700,0,301,48,dobry
600,'\'(42.8-55.2]\'',K,12,1500,0,5,5,dobry
1000,'\'(-inf-30.4]\'',M,12,2000,0,14,15,zly
235.97,'\'(55.2-67.6]\'',K,13,1428.55,0,133,48,dobry
744.6,'\'(55.2-67.6]\'',K,13,1100,0,17,48,zly
500,'\'(42.8-55.2]\'',M,11,1700,0,35,48,dobry
242.73,'\'(30.4-42.8]\'',K,11,2505,0,159,48,dobry
283.08,'\'(55.2-67.6]\'',K,13,782,0,188,48,dobry
700,'\'(67.6-inf)\'',M,13,2098,0,193,48,dobry
400,'\'(55.2-67.6]\'',K,16,1411,0,62,48,dobry
800,'\'(55.2-67.6]\'',K,17,684,0,185,48,dobry
500,'\'(55.2-67.6]\'',M,17,485,0,139,48,dobry
500,'\'(55.2-67.6]\'',K,13,1137.19,0,92,48,dobry
800,'\'(42.8-55.2]\'',M,12,1050,0,2,2,zly
400,'\'(42.8-55.2]\'',K,11,3170,0,281,48,dobry
500,'\'(55.2-67.6]\'',K,13,1212,0,49,48,dobry
600,'\'(42.8-55.2]\'',K,12,830.46,0,41,48,dobry
200,'\'(55.2-67.6]\'',K,13,1065,0,17,48,dobry
1000,'\'(42.8-55.2]\'',K,11,5800,0,50,48,dobry
600,'\'(55.2-67.6]\'',M,13,1503,0,161,48,dobry
400,'\'(55.2-67.6]\'',K,13,1684,0,15,48,dobry
450,'\'(67.6-inf)\'',K,13,640,0,134,48,dobry
800,'\'(67.6-inf)\'',K,13,2421.55,0,241,48,dobry
800,'\'(55.2-67.6]\'',M,11,1000,0,59,48,dobry
300,'\'(30.4-42.8]\'',M,11,1800,0,161,48,dobry
285.97,'\'(55.2-67.6]\'',K,13,1189,0,65,48,dobry
700,'\'(55.2-67.6]\'',M,11,1510,0,161,48,dobry
300,'\'(55.2-67.6]\'',K,11,1680,0,381,48,dobry
500,'\'(42.8-55.2]\'',K,16,655,0,27,48,dobry
300,'\'(30.4-42.8]\'',K,17,646,0,50,48,dobry
600,'\'(30.4-42.8]\'',M,11,2100,0,279,48,dobry
400,'\'(30.4-42.8]\'',K,11,2825,0,93,48,dobry
600,'\'(42.8-55.2]\'',K,11,2800,0,314,48,dobry
524.09,'\'(67.6-inf)\'',K,13,3541.9,0,122,48,dobry
300,'\'(55.2-67.6]\'',K,13,1130,0,99,48,dobry
700,'\'(30.4-42.8]\'',K,11,1290,0,15,48,dobry
200,'\'(42.8-55.2]\'',M,12,988,0,4,12,dobry
800,'\'(-inf-30.4]\'',M,12,1800,0,4,10,dobry
903.23,'\'(30.4-42.8]\'',K,11,1900,0,175,48,dobry
400,'\'(42.8-55.2]\'',M,17,693,0,15,36,zly
600,'\'(30.4-42.8]\'',M,12,1655.76,0,53,48,zly
300,'\'(55.2-67.6]\'',K,13,997,0,75,48,dobry
500,'\'(55.2-67.6]\'',K,13,850,0,63,48,dobry
500,'\'(42.8-55.2]\'',K,13,968.87,0,10,48,zly
300,'\'(30.4-42.8]\'',K,12,1200,0,4,14,dobry
200,'\'(42.8-55.2]\'',M,11,1400,0,10,48,dobry
500,'\'(67.6-inf)\'',M,13,1700,0,10,48,dobry
1000,'\'(-inf-30.4]\'',M,12,1800,0,6,7,dobry
400,'\'(67.6-inf)\'',K,13,1167.94,0,365,48,dobry
721.94,'\'(55.2-67.6]\'',K,12,1680,1,66,48,dobry
500,'\'(-inf-30.4]\'',K,12,1447,1,17,23,dobry
400,'\'(55.2-67.6]\'',K,13,930,1,126,48,dobry
700,'\'(55.2-67.6]\'',M,13,1420.41,1,20,48,zly
250,'\'(55.2-67.6]\'',K,13,810,1,29,48,dobry
500,'\'(30.4-42.8]\'',K,11,1087,0,234,48,dobry
500,'\'(42.8-55.2]\'',M,11,1320,0,338,48,dobry
400,'\'(55.2-67.6]\'',K,13,1015,1,105,48,dobry
500,'\'(42.8-55.2]\'',M,11,3200,0,185,48,dobry
200,'\'(55.2-67.6]\'',K,13,544.63,0,64,48,zly
500,'\'(55.2-67.6]\'',K,16,1340,0,157,48,dobry
200,'\'(42.8-55.2]\'',M,11,1360,1,115,48,dobry
1000,'\'(42.8-55.2]\'',M,11,4000,1,6,48,dobry
408.77,'\'(30.4-42.8]\'',K,11,2050,1,24,48,dobry
200,'\'(42.8-55.2]\'',K,12,2000,1,30,48,dobry
200,'\'(42.8-55.2]\'',K,17,432.87,0,141,48,dobry
300,'\'(55.2-67.6]\'',M,11,3000,1,208,48,dobry
200,'\'(-inf-30.4]\'',M,12,1000,1,7,24,dobry
449.7,'\'(-inf-30.4]\'',M,99,980,1,7,8,dobry
400,'\'(55.2-67.6]\'',K,13,665.92,1,121,48,dobry
500,'\'(67.6-inf)\'',K,13,1667,0,152,48,dobry
300,'\'(42.8-55.2]\'',M,13,3900,1,26,48,dobry
200,'\'(42.8-55.2]\'',K,16,685,0,37,48,dobry
300,'\'(67.6-inf)\'',K,16,959.6,0,111,48,dobry
500,'\'(55.2-67.6]\'',K,13,1031,0,117,48,dobry
600,'\'(30.4-42.8]\'',K,11,1800,0,47,48,dobry
432.44,'\'(67.6-inf)\'',K,13,1072,1,149,48,dobry
200,'\'(-inf-30.4]\'',M,17,985,1,9,11,dobry
200,'\'(-inf-30.4]\'',M,11,1136.8,0,5,48,dobry
200,'\'(30.4-42.8]\'',K,99,2800,1,6,6,dobry
200,'\'(42.8-55.2]\'',K,11,770,1,99,48,zly
400,'\'(-inf-30.4]\'',M,99,750,0,0,5,dobry
800,'\'(55.2-67.6]\'',K,11,2670,1,84,48,dobry
500,'\'(55.2-67.6]\'',M,16,1313.41,0,23,48,dobry
1000,'\'(67.6-inf)\'',K,13,2291,1,67,48,dobry
1000,'\'(55.2-67.6]\'',K,13,1454.91,0,38,48,dobry
700,'\'(30.4-42.8]\'',M,11,2258,1,71,48,dobry
500,'\'(55.2-67.6]\'',K,13,1362,1,52,48,dobry
662.69,'\'(-inf-30.4]\'',M,11,2837,1,122,48,dobry
200,'\'(55.2-67.6]\'',K,13,714,1,218,48,dobry
200,'\'(67.6-inf)\'',K,13,1026,1,243,48,dobry
200,'\'(55.2-67.6]\'',M,15,482.94,0,147,48,zly
500,'\'(55.2-67.6]\'',M,13,1261.6,0,49,48,dobry
200,'\'(67.6-inf)\'',K,13,1442.43,1,137,48,dobry
600,'\'(42.8-55.2]\'',M,16,588,1,418,48,dobry
300,'\'(-inf-30.4]\'',K,12,1600,0,0,2,zly
352.42,'\'(55.2-67.6]\'',K,13,1668,1,87,48,dobry
300,'\'(42.8-55.2]\'',K,11,980,0,196,48,dobry
300,'\'(42.8-55.2]\'',M,12,1000,1,39,48,dobry
300,'\'(-inf-30.4]\'',M,17,926,1,52,48,dobry
300,'\'(55.2-67.6]\'',K,13,1240,1,66,48,dobry
520.7,'\'(-inf-30.4]\'',M,17,926,1,52,48,dobry
888.47,'\'(67.6-inf)\'',K,13,1377.23,1,253,48,dobry
200,'\'(30.4-42.8]\'',M,12,1000,1,2,3,zly
800,'\'(-inf-30.4]\'',M,11,1888.27,0,73,48,dobry
700,'\'(-inf-30.4]\'',M,11,1110,0,6,48,dobry
300,'\'(67.6-inf)\'',K,13,865,1,123,48,dobry
500,'\'(42.8-55.2]\'',K,16,1045.6,1,8,48,dobry
400,'\'(-inf-30.4]\'',M,12,900,1,14,20,dobry
673.09,'\'(55.2-67.6]\'',K,13,930,1,90,48,dobry
500,'\'(42.8-55.2]\'',M,11,1600,0,44,48,dobry
1000,'\'(42.8-55.2]\'',M,11,3250,0,1,48,dobry
300,'\'(55.2-67.6]\'',M,13,1250,0,63,48,dobry
400,'\'(55.2-67.6]\'',K,13,802.83,0,197,48,dobry
250,'\'(55.2-67.6]\'',K,13,634.64,0,8,48,dobry
1000,'\'(55.2-67.6]\'',K,13,1370,0,72,48,dobry
200,'\'(42.8-55.2]\'',K,11,1400,1,21,48,dobry
200,'\'(42.8-55.2]\'',M,17,749.74,1,107,48,dobry
1000,'\'(30.4-42.8]\'',K,11,2200,0,33,48,dobry
200,'\'(55.2-67.6]\'',K,13,670,1,62,48,dobry
281.29,'\'(42.8-55.2]\'',K,11,1700,1,201,48,dobry
200,'\'(42.8-55.2]\'',M,98,450,0,1,48,zly
500,'\'(55.2-67.6]\'',M,11,2250.05,1,172,48,dobry
300,'\'(30.4-42.8]\'',K,99,645.31,0,6,11,dobry
200,'\'(42.8-55.2]\'',K,11,1187.06,0,129,48,dobry
400,'\'(55.2-67.6]\'',K,13,1090.14,0,71,48,dobry
300,'\'(67.6-inf)\'',K,13,785,0,60,48,dobry
700,'\'(67.6-inf)\'',M,13,2802,1,243,48,dobry
400,'\'(42.8-55.2]\'',K,11,1577.42,1,201,48,dobry
626.61,'\'(30.4-42.8]\'',M,12,3000,1,3,10,dobry
200,'\'(42.8-55.2]\'',M,12,1210,0,3,9,dobry
1000,'\'(30.4-42.8]\'',M,11,3600,0,48,48,zly
400,'\'(55.2-67.6]\'',M,99,611.36,0,8,12,dobry
500,'\'(30.4-42.8]\'',M,11,2700,1,11,48,dobry
300,'\'(42.8-55.2]\'',M,12,600,1,5,27,dobry
200,'\'(-inf-30.4]\'',K,17,1200,1,161,48,dobry
400,'\'(42.8-55.2]\'',K,11,1077.49,0,367,48,dobry
400,'\'(67.6-inf)\'',K,13,1291.18,1,75,48,dobry
1000,'\'(30.4-42.8]\'',M,11,1033,0,32,48,dobry
500,'\'(42.8-55.2]\'',K,11,1800,1,49,48,dobry
800,'\'(42.8-55.2]\'',M,11,980,0,108,48,zly
575.74,'\'(30.4-42.8]\'',M,11,2050,1,114,48,dobry
800,'\'(30.4-42.8]\'',K,11,2400,0,109,48,dobry
400,'\'(42.8-55.2]\'',K,12,1700,1,51,48,dobry
300,'\'(55.2-67.6]\'',M,13,1408.27,0,72,48,zly
300,'\'(55.2-67.6]\'',K,16,1389,0,87,48,dobry
300,'\'(55.2-67.6]\'',M,16,763.38,0,207,48,dobry
285.97,'\'(67.6-inf)\'',K,13,1017,1,157,48,dobry
300,'\'(42.8-55.2]\'',K,11,658,0,89,48,dobry
300,'\'(67.6-inf)\'',K,13,729.03,1,253,48,dobry
700,'\'(55.2-67.6]\'',M,11,2031,1,110,48,dobry
500,'\'(42.8-55.2]\'',K,17,990,1,68,48,dobry
300,'\'(42.8-55.2]\'',M,11,2080,1,314,48,dobry
300,'\'(-inf-30.4]\'',M,12,1250,0,11,11,zly
200,'\'(30.4-42.8]\'',M,12,1017,0,53,48,dobry
200,'\'(55.2-67.6]\'',K,13,910,1,65,48,dobry
300,'\'(-inf-30.4]\'',M,11,1400,0,20,48,dobry
800,'\'(42.8-55.2]\'',K,98,3000,0,7,48,zly
500,'\'(30.4-42.8]\'',K,11,1700,0,193,48,dobry
400,'\'(42.8-55.2]\'',K,12,1040,1,14,19,dobry
300,'\'(30.4-42.8]\'',M,11,2500,0,151,48,dobry
1000,'\'(42.8-55.2]\'',M,11,3500,0,30,48,zly
300,'\'(55.2-67.6]\'',K,13,1244.77,1,35,48,dobry
500,'\'(30.4-42.8]\'',M,11,1060.96,0,5,48,zly
300,'\'(67.6-inf)\'',M,13,960,1,136,48,dobry
300,'\'(67.6-inf)\'',M,13,1457,0,75,48,dobry
200,'\'(30.4-42.8]\'',K,99,1000,0,9,11,zly
200,'\'(30.4-42.8]\'',M,12,700,0,5,23,dobry
400,'\'(67.6-inf)\'',K,13,722.05,0,193,48,dobry
200,'\'(55.2-67.6]\'',K,13,1216,1,137,48,dobry
600,'\'(30.4-42.8]\'',K,12,2000,0,3,5,zly
700,'\'(55.2-67.6]\'',K,13,1872,1,31,48,dobry
800,'\'(42.8-55.2]\'',K,13,3440,1,47,48,dobry
300,'\'(30.4-42.8]\'',M,12,1463.56,1,1,12,dobry
540.54,'\'(30.4-42.8]\'',K,11,2478,0,153,48,zly
600,'\'(30.4-42.8]\'',K,12,855,1,40,48,dobry
500.8,'\'(30.4-42.8]\'',K,98,4000,1,14,48,dobry
1000,'\'(42.8-55.2]\'',K,11,4900,0,7,48,dobry
400,'\'(55.2-67.6]\'',K,13,1280,1,13,48,dobry
500,'\'(30.4-42.8]\'',M,11,2200,1,81,48,dobry
800,'\'(30.4-42.8]\'',K,12,1540,0,35,39,dobry
300,'\'(42.8-55.2]\'',K,12,1000,1,28,29,dobry
300,'\'(55.2-67.6]\'',M,16,726,1,229,48,dobry
500,'\'(55.2-67.6]\'',M,13,1530,1,31,48,dobry
300,'\'(42.8-55.2]\'',M,12,1000,1,5,5,zly
449.61,'\'(42.8-55.2]\'',M,11,1552.16,1,94,48,dobry
369.96,'\'(30.4-42.8]\'',K,11,2709.34,1,177,48,dobry
600,'\'(42.8-55.2]\'',M,12,2673.17,1,108,48,dobry
500,'\'(55.2-67.6]\'',M,13,1169,0,75,48,zly
600,'\'(55.2-67.6]\'',M,13,1561.87,0,193,48,dobry
426.61,'\'(42.8-55.2]\'',K,11,2470,1,350,48,dobry
200,'\'(42.8-55.2]\'',K,11,963.57,0,211,48,zly
300,'\'(42.8-55.2]\'',K,11,1344.9,0,42,48,dobry
200,'\'(67.6-inf)\'',K,13,930,1,235,48,dobry
200,'\'(55.2-67.6]\'',K,13,1125,1,121,48,dobry
600,'\'(30.4-42.8]\'',K,11,980.11,1,41,48,dobry
300,'\'(55.2-67.6]\'',M,12,1000,1,8,10,dobry
300,'\'(55.2-67.6]\'',M,13,1611,1,137,48,dobry
500,'\'(67.6-inf)\'',K,13,1200,1,115,48,dobry
800,'\'(55.2-67.6]\'',K,12,1215.64,0,7,48,zly
600,'\'(55.2-67.6]\'',K,13,1050,1,135,48,dobry
500,'\'(55.2-67.6]\'',K,13,1199.37,0,11,48,dobry
400,'\'(55.2-67.6]\'',K,13,1400,0,50,48,dobry
700,'\'(-inf-30.4]\'',M,12,1300,1,23,41,dobry
335.97,'\'(42.8-55.2]\'',K,11,1721.7,1,116,48,dobry
400,'\'(42.8-55.2]\'',M,17,798.8,1,145,48,dobry
300,'\'(55.2-67.6]\'',M,11,1500,0,391,48,dobry
200,'\'(-inf-30.4]\'',K,12,980,1,6,6,dobry
200,'\'(67.6-inf)\'',K,13,1000,0,207,48,dobry
430,'\'(55.2-67.6]\'',K,13,919,1,137,48,dobry
300,'\'(42.8-55.2]\'',K,12,1032,1,34,40,dobry
700,'\'(30.4-42.8]\'',M,12,2000,0,6,12,zly
200,'\'(55.2-67.6]\'',K,13,856,0,53,48,dobry
1000,'\'(-inf-30.4]\'',M,11,2700,1,60,48,dobry
500,'\'(55.2-67.6]\'',M,16,1770,1,85,48,dobry
300,'\'(42.8-55.2]\'',K,16,1788,1,59,48,zly
200,'\'(30.4-42.8]\'',K,12,599.03,0,15,18,dobry
231.22,'\'(42.8-55.2]\'',M,12,1000,1,8,39,dobry
500,'\'(55.2-67.6]\'',K,13,1085,1,162,48,dobry
500,'\'(42.8-55.2]\'',M,13,1900,1,146,48,dobry
500,'\'(42.8-55.2]\'',M,12,1963.88,0,2,5,dobry
400,'\'(67.6-inf)\'',M,13,1772.53,0,276,48,dobry
600,'\'(67.6-inf)\'',M,16,1100,1,133,48,dobry
400,'\'(55.2-67.6]\'',M,16,1473.04,0,161,48,dobry
300,'\'(55.2-67.6]\'',K,13,1026,1,51,48,dobry
500,'\'(55.2-67.6]\'',K,13,917,0,72,48,dobry
700,'\'(55.2-67.6]\'',K,13,1160,0,74,48,dobry
500,'\'(42.8-55.2]\'',M,98,3178,1,197,48,dobry
200,'\'(42.8-55.2]\'',K,11,932.34,1,391,48,dobry
200,'\'(67.6-inf)\'',M,13,1420,0,49,48,dobry
200,'\'(42.8-55.2]\'',K,17,734.94,0,18,24,zly
600,'\'(42.8-55.2]\'',K,11,1443,1,29,48,dobry
1000,'\'(67.6-inf)\'',K,13,2100,1,51,48,dobry
300,'\'(55.2-67.6]\'',K,13,936,1,27,48,dobry
200,'\'(55.2-67.6]\'',K,13,757.1,0,194,48,zly
200,'\'(55.2-67.6]\'',K,13,1083.23,1,93,48,dobry
300,'\'(42.8-55.2]\'',M,11,970,0,194,48,zly
300,'\'(-inf-30.4]\'',K,12,1300,0,4,12,dobry
500,'\'(-inf-30.4]\'',K,12,1500,0,0,2,dobry
400,'\'(42.8-55.2]\'',K,16,1362,1,25,48,dobry
400,'\'(67.6-inf)\'',K,16,1138.01,0,3,48,dobry
500,'\'(55.2-67.6]\'',K,13,2113.24,0,57,48,dobry
300,'\'(42.8-55.2]\'',K,11,1400,1,157,48,dobry
700,'\'(55.2-67.6]\'',M,13,3040,1,197,48,dobry
200,'\'(67.6-inf)\'',M,13,1921,1,85,48,dobry
200,'\'(42.8-55.2]\'',K,12,984.34,0,14,20,dobry
800,'\'(55.2-67.6]\'',K,13,580,1,115,48,dobry
300,'\'(-inf-30.4]\'',M,11,1000,1,53,48,dobry
1000,'\'(55.2-67.6]\'',K,13,1820,1,65,48,dobry
500,'\'(-inf-30.4]\'',K,11,901,0,36,48,dobry
250,'\'(67.6-inf)\'',M,13,2000,1,41,48,dobry
200,'\'(42.8-55.2]\'',K,11,1077,1,179,48,dobry
250,'\'(67.6-inf)\'',M,13,1162.41,1,100,48,dobry
200,'\'(42.8-55.2]\'',K,11,1870,0,260,48,zly
1000,'\'(30.4-42.8]\'',M,11,2256,0,70,48,zly
300,'\'(42.8-55.2]\'',K,11,992.84,1,117,48,dobry
200,'\'(-inf-30.4]\'',M,17,728,1,96,48,dobry
476.61,'\'(55.2-67.6]\'',M,11,2947,1,49,48,dobry
400,'\'(42.8-55.2]\'',K,98,911,1,94,48,dobry
200,'\'(67.6-inf)\'',K,13,1134.96,1,157,48,dobry
400,'\'(30.4-42.8]\'',K,12,1382,0,17,23,dobry
200,'\'(67.6-inf)\'',K,13,866.46,1,191,48,dobry
300,'\'(55.2-67.6]\'',K,13,825.69,0,3,48,zly
296.54,'\'(30.4-42.8]\'',M,12,1030,1,1,23,dobry
500,'\'(55.2-67.6]\'',M,11,2100,0,183,48,dobry
200,'\'(67.6-inf)\'',K,13,1800,1,113,48,dobry
200,'\'(55.2-67.6]\'',M,16,650.77,0,44,48,dobry
300,'\'(42.8-55.2]\'',K,16,1072.89,1,118,48,dobry
400,'\'(55.2-67.6]\'',M,13,2040,0,140,48,dobry
500,'\'(42.8-55.2]\'',K,11,1200,0,97,48,zly
400,'\'(55.2-67.6]\'',K,16,634.64,0,132,48,dobry
300,'\'(42.8-55.2]\'',M,12,1042,0,1,2,dobry
400,'\'(30.4-42.8]\'',M,11,3500,1,24,48,dobry
300,'\'(30.4-42.8]\'',M,12,1200,0,1,2,zly
200,'\'(30.4-42.8]\'',K,11,1037.34,1,58,48,dobry
200,'\'(55.2-67.6]\'',K,13,714,1,218,48,dobry
400,'\'(55.2-67.6]\'',M,13,1287.66,0,92,48,dobry
500,'\'(42.8-55.2]\'',K,98,2200,1,21,48,dobry
400,'\'(30.4-42.8]\'',M,11,2300,0,101,48,zly
200,'\'(42.8-55.2]\'',M,11,1566.82,0,345,48,dobry
200,'\'(42.8-55.2]\'',K,11,1071.61,0,399,48,dobry
900,'\'(30.4-42.8]\'',K,11,800.51,0,16,48,dobry
500,'\'(42.8-55.2]\'',K,12,1500,1,22,32,zly
500,'\'(-inf-30.4]\'',M,12,1400,0,5,23,dobry
200,'\'(-inf-30.4]\'',K,12,1134.4,0,7,15,zly
200,'\'(42.8-55.2]\'',K,11,967.64,0,315,48,dobry
200,'\'(55.2-67.6]\'',K,13,1635,1,116,48,dobry
1100,'\'(30.4-42.8]\'',M,11,2875.71,1,274,48,dobry
300,'\'(67.6-inf)\'',K,13,1000,0,60,48,dobry
400,'\'(55.2-67.6]\'',K,13,1400,1,242,48,dobry
500,'\'(67.6-inf)\'',M,13,2612,0,78,48,dobry
500,'\'(55.2-67.6]\'',K,13,930,0,28,48,dobry
300,'\'(55.2-67.6]\'',M,12,1100,1,18,35,dobry
694,'\'(30.4-42.8]\'',K,11,1900,1,204,48,dobry
400,'\'(55.2-67.6]\'',K,13,815,0,140,48,dobry
500,'\'(55.2-67.6]\'',M,13,1500,1,19,48,dobry
300,'\'(-inf-30.4]\'',M,12,1300,0,0,3,zly
300,'\'(30.4-42.8]\'',M,11,2100,1,60,48,dobry
200,'\'(55.2-67.6]\'',K,17,1100,0,23,33,dobry
400,'\'(42.8-55.2]\'',K,11,1493.98,0,357,48,dobry
421.62,'\'(30.4-42.8]\'',K,11,1400,0,97,48,dobry
600,'\'(55.2-67.6]\'',M,13,1272,0,12,48,dobry
1239.88,'\'(42.8-55.2]\'',K,11,1638,1,310,48,dobry
1000,'\'(42.8-55.2]\'',K,11,2500,0,229,48,dobry
200,'\'(55.2-67.6]\'',K,13,840,1,109,48,dobry
400,'\'(30.4-42.8]\'',M,12,950,0,3,15,dobry
700,'\'(30.4-42.8]\'',K,11,2825,0,93,48,zly
700,'\'(55.2-67.6]\'',K,13,2066,1,125,48,dobry
300,'\'(55.2-67.6]\'',K,13,1094,0,180,48,dobry
600,'\'(55.2-67.6]\'',K,11,1400,1,159,48,dobry
200,'\'(67.6-inf)\'',K,13,1185.33,1,220,48,dobry
300,'\'(55.2-67.6]\'',K,13,1658,1,25,48,dobry
500,'\'(55.2-67.6]\'',K,13,1900,1,84,48,dobry
200,'\'(67.6-inf)\'',M,13,770,0,108,48,zly
300,'\'(42.8-55.2]\'',M,12,1952.35,0,0,11,dobry
200,'\'(42.8-55.2]\'',M,12,1030,1,5,24,dobry
300,'\'(42.8-55.2]\'',K,11,2065.98,1,175,48,dobry
400,'\'(30.4-42.8]\'',M,12,1884.29,0,16,23,dobry
600,'\'(42.8-55.2]\'',K,11,3200,1,50,48,dobry
1000,'\'(55.2-67.6]\'',M,11,2031,0,110,48,dobry
400,'\'(-inf-30.4]\'',M,11,3000,0,37,48,dobry
300,'\'(42.8-55.2]\'',M,12,670,1,5,11,dobry
350,'\'(67.6-inf)\'',K,13,1721,1,193,48,zly
500,'\'(55.2-67.6]\'',K,13,1029.7,0,5,48,zly
285.97,'\'(30.4-42.8]\'',K,98,1200,1,42,48,dobry
280.11,'\'(30.4-42.8]\'',K,11,1770,1,83,48,dobry
500,'\'(42.8-55.2]\'',M,99,2500,0,1,3,dobry
600,'\'(55.2-67.6]\'',M,11,1250,1,61,48,dobry
200,'\'(42.8-55.2]\'',K,16,749.28,1,61,48,dobry
400,'\'(67.6-inf)\'',K,16,980,1,127,48,dobry
300,'\'(67.6-inf)\'',M,13,1100,0,62,48,zly
1000,'\'(-inf-30.4]\'',M,11,10000,0,5,48,zly
500,'\'(55.2-67.6]\'',K,13,1977,0,51,48,dobry
277.4,'\'(55.2-67.6]\'',K,13,975,1,23,48,dobry
600,'\'(55.2-67.6]\'',M,11,3335,1,429,48,dobry
300,'\'(42.8-55.2]\'',K,98,980,0,6,48,dobry
200,'\'(55.2-67.6]\'',M,13,1742.76,0,38,48,zly
789.27,'\'(55.2-67.6]\'',K,13,860,1,76,48,dobry
500,'\'(42.8-55.2]\'',M,16,1700,0,242,48,zly
400,'\'(67.6-inf)\'',K,16,1401,0,72,48,dobry
200,'\'(42.8-55.2]\'',K,99,1100,0,48,48,dobry
377.92,'\'(-inf-30.4]\'',K,11,1500,1,21,48,dobry
500,'\'(30.4-42.8]\'',K,11,3100,1,118,48,dobry
400,'\'(30.4-42.8]\'',K,11,2700,1,118,48,dobry
300,'\'(55.2-67.6]\'',K,13,750,0,62,48,zly
200,'\'(55.2-67.6]\'',K,13,784,0,36,48,dobry
300,'\'(55.2-67.6]\'',M,13,2110,1,98,48,dobry
250,'\'(55.2-67.6]\'',M,99,685,1,1,2,dobry
400,'\'(55.2-67.6]\'',M,13,1300,0,74,48,dobry
200,'\'(67.6-inf)\'',K,13,1026,1,244,48,dobry
300,'\'(55.2-67.6]\'',M,13,907,0,5,48,dobry
200,'\'(30.4-42.8]\'',K,12,1032.34,1,1,11,dobry
1569.98,'\'(42.8-55.2]\'',M,11,2353,1,96,48,dobry
200,'\'(30.4-42.8]\'',K,16,540,0,180,48,zly
700,'\'(55.2-67.6]\'',K,13,3251,0,134,48,dobry
521.49,'\'(55.2-67.6]\'',K,13,1525.46,1,33,48,dobry
200,'\'(-inf-30.4]\'',M,11,1136.8,1,6,48,zly
800,'\'(55.2-67.6]\'',K,13,3700,1,23,48,dobry
200,'\'(55.2-67.6]\'',M,13,1538,1,97,48,dobry
400,'\'(67.6-inf)\'',M,13,957.2,0,194,48,dobry
300,'\'(-inf-30.4]\'',M,11,1459,1,5,48,dobry
500,'\'(42.8-55.2]\'',K,11,3000,1,90,48,dobry
300,'\'(67.6-inf)\'',K,13,2100,1,157,48,dobry
200,'\'(42.8-55.2]\'',K,11,1400,1,113,48,dobry
600,'\'(55.2-67.6]\'',K,13,2120,1,115,48,dobry
300,'\'(30.4-42.8]\'',K,12,1027,1,5,48,dobry
700,'\'(55.2-67.6]\'',K,13,1801.41,1,34,48,dobry
300,'\'(30.4-42.8]\'',M,12,1017,1,54,48,zly
200,'\'(42.8-55.2]\'',M,12,1030,1,6,48,dobry
500,'\'(55.2-67.6]\'',M,13,1193.65,0,6,48,dobry
200,'\'(42.8-55.2]\'',K,12,2000,2,31,48,dobry
1000,'\'(42.8-55.2]\'',M,11,2000,0,48,48,dobry
200,'\'(67.6-inf)\'',K,13,803.86,1,154,48,dobry
450,'\'(67.6-inf)\'',K,13,1412,1,200,48,dobry
600,'\'(30.4-42.8]\'',K,98,5000,0,81,48,dobry
275.97,'\'(30.4-42.8]\'',K,11,1000,1,58,48,dobry
200,'\'(42.8-55.2]\'',M,16,1045,0,196,48,dobry
500,'\'(-inf-30.4]\'',M,17,1896,1,31,33,dobry
300,'\'(30.4-42.8]\'',K,11,1200,1,187,48,dobry
1000,'\'(30.4-42.8]\'',M,12,1500,0,30,35,dobry
200,'\'(55.2-67.6]\'',K,13,1425,1,76,48,dobry
200,'\'(42.8-55.2]\'',K,16,2300,1,59,48,dobry
400,'\'(42.8-55.2]\'',K,11,2800,1,56,48,dobry
498.47,'\'(30.4-42.8]\'',K,12,1600,1,11,11,dobry
700,'\'(55.2-67.6]\'',M,13,1674.77,0,66,48,zly
300,'\'(42.8-55.2]\'',M,13,995,0,168,48,zly
500,'\'(42.8-55.2]\'',M,11,2011,0,208,48,dobry
700,'\'(42.8-55.2]\'',M,12,1574.45,0,28,35,dobry
200,'\'(42.8-55.2]\'',K,16,634.64,0,18,48,zly
400,'\'(30.4-42.8]\'',M,11,1261.98,1,33,48,dobry
