@relation '238454L1_2-weka.filters.unsupervised.instance.SubsetByExpression-E((ATT1 is \'splacona_cz\' or ATT1 is \'splacona\' or ATT1 is \'windykacja_sp\' or ATT1 is \'windykacja\') and ATT2<=900)-weka.filters.unsupervised.attribute.Remove-R1'

@attribute 'kwota wnioskowana' numeric
@attribute wiek numeric
@attribute plec {K,M}
@attribute 'rodzaj zrodla dochodu' numeric
@attribute 'miesieczny dochod netto' numeric
@attribute 'ktore rolowanie' numeric
@attribute 'okres w jakim pob. doch.' numeric
@attribute 'okres w jakim bedzie pobierac dochod' numeric
@attribute 'opoznienie splaty' numeric

@data
200,60,K,13,984,0,7,48,0
600,47,K,12,830.46,0,42,48,1
500,62,K,16,1340,1,158,48,3
500,71,K,13,640,1,135,48,1
200,75,K,13,616,1,243,48,0
300,55,K,12,1009.34,0,26,48,0
200,57,K,16,703,1,22,48,1
300,70,M,13,1426,1,74,48,0
417.53,25,M,12,1300,1,5,25,409
300,38,M,11,2700,0,6,48,0
300,53,M,11,1700,1,36,48,1
300,57,K,13,1500,1,43,48,1
900,58,K,17,684,1,186,48,1
202.73,39,K,11,2505,1,160,48,1
600,54,K,11,1300,1,65,48,11
200,24,M,12,1000,2,8,24,0
500,60,K,13,1000,1,64,48,1
800,59,M,11,1000,1,60,48,0
400,55,K,11,1172.2,1,34,48,1
600,32,K,11,1290,1,16,48,1
300,61,K,13,997,1,76,48,1
500,61,K,13,962,1,62,48,15
400,60,K,13,810,2,30,48,8
400,47,M,12,600,2,6,27,0
300,57,K,11,1680,1,382,48,1
600,60,M,12,611.36,1,0,3,280
265.58,61,K,13,1189,1,66,48,1
500,60,K,13,1212,1,50,48,1
400,66,K,13,1137.19,1,93,48,0
300,60,K,13,744.07,0,9,48,1
500,45,M,11,2100,0,47,48,0
300,62,K,13,1130,1,100,48,0
200,64,K,13,802.83,1,198,48,0
500,53,K,16,655,1,28,48,0
300,61,K,13,1684,1,17,48,0
235.97,66,K,13,1428.55,1,134,48,0
400,45,K,12,990.34,0,52,48,0
600,63,M,13,1601.87,0,42,48,0
200,49,M,11,1400,1,11,48,0
200,52,M,12,1210,0,4,9,20
300,69,M,13,940,1,50,48,2
400,53,K,17,1031,0,48,48,0
300,33,M,11,1800,1,162,48,0
200,57,K,16,634,0,48,48,0
700,62,K,13,1474.55,0,62,48,0
200,29,M,99,1393.85,0,1,2,1
300,59,K,13,1100,0,40,48,0
300,65,K,13,930,2,127,48,0
300,63,K,13,1100,1,102,48,20
600,49,K,11,2800,1,315,48,0
769.94,47,M,11,2500,1,200,48,8
500,71,M,13,1700,1,11,48,2
200,54,M,12,988,1,6,12,12
500,66,K,13,1062,0,159,48,15
400,61,M,13,1503,1,162,48,13
400,52,K,11,1300,1,31,48,11
300,34,K,12,1200,1,5,14,1
700,74,M,13,2098,1,194,48,2
500,60,M,16,837,0,228,48,0
200,71,K,13,730,0,557,48,0
400,43,K,12,1100,0,12,29,3187
500,51,K,11,1700,1,302,48,4
200,79,K,13,1442.43,2,138,48,0
200,46,M,11,1360,2,116,48,0
600,51,K,12,1050,0,30,36,0
500,65,K,16,892,0,197,48,0
400,65,K,13,850,1,64,48,5
500,65,K,13,1350,0,108,48,0
700,52,M,11,3200,1,186,48,0
700,27,K,11,2100,0,19,48,0
400,55,K,17,547.89,0,53,48,0
400,60,K,16,1411,1,63,48,17
700,28,M,12,1800,1,7,8,0
300,64,K,13,1210,0,135,48,6
500,29,K,12,1447,2,18,23,5
500,30,M,12,1037.34,0,17,23,0
200,71,K,13,785,1,61,48,0
449.7,22,M,99,980,2,8,10,384
500,52,M,11,1320,1,339,48,3
200,68,K,16,959.6,1,112,48,0
600,46,K,11,1700,1,86,48,0
300,48,M,13,3900,2,27,48,3
300,67,K,13,720.19,0,90,48,0
300,19,M,99,750,1,1,5,0
500,55,K,13,1425,1,16,48,465
300,47,K,11,1077.49,1,368,48,3
200,37,K,99,2800,2,7,7,3186
600,53,M,11,4000,2,7,48,0
200,20,M,17,985,2,10,11,0
392.14,62,K,13,1668,2,88,48,9
441.91,52,K,11,1050,1,15,48,422
200,61,M,13,1672.59,0,19,48,0
200,57,M,13,12220,0,68,48,0
600,55,M,16,588,2,419,48,2
300,57,K,13,611,0,136,48,0
230,61,K,13,1065,1,18,48,274
400,64,M,13,1261.6,1,50,48,0
400,58,K,13,1454.91,1,39,48,6
400,21,K,12,1634,0,9,9,3
500,31,M,11,2700,2,12,48,3
799.84,57,K,11,1680,2,67,48,1
300,24,M,12,1400,0,9,32,0
432.44,69,K,13,1072,2,150,48,1
200,57,M,16,763.38,1,208,48,1
500,53,K,16,1045.6,2,9,48,0
400,29,M,11,1888.27,1,74,48,4
700,56,M,11,1842.86,0,4,48,0
500,46,M,13,1688.82,0,96,48,0
300,57,K,13,1240,2,67,48,0
400,28,M,12,900,2,15,20,8
300,43,K,11,1400,2,22,48,0
200,74,K,13,1026,2,244,48,0
281.29,52,K,11,1700,2,202,48,1
300,60,M,11,3000,2,209,48,1
400,45,K,11,763,1,90,48,0
400,42,K,99,645.31,0,7,11,1
300,69,K,13,729.03,2,254,48,0
400,61,K,13,1090.14,1,72,48,0
700,61,M,11,2458,0,144,48,0
200,62,K,13,714,2,219,48,0
200,63,K,16,1389,1,88,48,0
381.29,70,K,13,1291.18,2,76,48,0
400,43,M,12,1952.35,1,1,11,0
900,59,K,13,1370,1,73,48,0
300,65,K,13,665.92,2,122,48,300
500,60,K,13,1170,0,75,48,0
400,55,K,11,1187.06,1,130,48,2
400,50,K,17,990,2,69,48,0
700,52,M,11,2080,2,315,48,0
400,54,K,12,1700,2,52,48,0
300,30,K,11,1373.34,0,55,48,0
200,24,K,17,1200,2,162,48,0
600,35,K,11,2400,1,110,48,0
500,58,M,17,1485,1,140,48,0
300,27,M,12,1136.86,0,8,23,1
500,60,K,13,1362,2,53,48,6
500,49,M,11,3250,1,2,48,3181
600,67,M,16,1600,0,9,48,0
426.61,49,K,11,2470,2,351,48,0
400,51,K,12,1040,2,14,19,3181
400,64,K,13,1015,2,106,48,4
200,68,K,13,1017,2,158,48,0
500,55,K,17,547.89,1,53,48,13
600,38,K,11,1800,1,48,48,11
200,65,K,13,910,2,66,48,1
200,42,M,11,2284.23,0,296,48,0
400,50,K,11,1577.42,2,202,48,11
600,33,K,12,1540,1,36,39,5
575.74,32,M,11,2050,2,115,48,1
800,53,K,11,2368.57,0,407,48,0
500,49,K,11,4900,0,8,48,0
300,73,M,13,1457,1,76,48,3
200,65,K,13,1216,2,138,48,0
400,60,K,13,1280,2,14,48,0
500,48,K,11,1800,2,50,48,3
670.73,63,K,13,930,2,91,48,11
500,33,M,11,1500,1,99,48,3179
400,33,M,11,1033,1,33,48,303
500,60,K,13,1160,1,75,48,3
300,58,K,13,1244.77,2,36,48,4
200,72,K,13,930,2,236,48,0
500,70,K,13,1200,2,116,48,16
400,66,K,13,1085,2,163,48,3
500,30,M,11,2700,2,61,48,2
400,34,K,11,980.11,2,42,48,10
200,72,K,13,866.46,2,192,48,0
700,58,K,13,1872,2,32,48,2
600,51,M,12,2673.17,2,109,48,5
400,59,K,13,1400,1,51,48,0
500,36,K,11,1700,1,194,48,5
400,35,M,11,2700,1,5,48,3179
500,58,M,16,1770,2,86,48,0
500.8,35,K,98,4000,2,15,48,2
200,26,M,17,728,2,97,48,2
200,63,K,13,2113.24,1,58,48,0
300,52,K,16,685,0,38,48,0
800,59,K,11,1906.42,0,209,48,0
281.29,56,M,13,1561.87,1,194,48,3177
200,53,K,12,984.34,1,15,20,0
300,70,K,13,907,0,231,48,0
385.97,54,K,11,1721.7,2,117,48,0
300,59,M,16,726,2,230,48,336
300,59,K,13,936,2,28,48,0
500,55,M,13,1900,2,147,48,0
400,56,K,11,1730.13,0,190,48,1
337.64,35,K,11,2709.34,2,178,48,0
500,61,K,13,1399.99,0,12,48,1
400,44,M,12,1963.88,1,3,5,0
600,60,K,13,1050,2,136,48,0
520.7,24,M,17,926,2,53,48,400
356.68,24,M,17,926,2,53,48,400
600,43,K,11,1443,2,30,48,1
200,63,M,16,650.77,0,45,48,3
400,59,K,13,784,1,36,48,3177
300,29,M,11,1000,2,54,48,3
300,59,K,13,1026,2,52,48,11
200,56,M,11,1500,1,392,48,1
200,70,M,13,1420,1,50,48,0
700,65,M,13,1217,0,48,48,0
400,52,K,16,1362,2,26,48,0
300,27,K,11,901,1,37,48,0
500,69,M,13,3181,0,48,48,0
500,64,M,13,1530,2,32,48,5
200,30,K,12,980,2,7,10,1
500,43,M,11,3217,0,267,48,0
700,64,M,13,3040,2,198,48,0
300,56,K,17,1100,0,24,33,0
200,51,K,11,932.34,2,392,48,0
400,22,M,11,1400,0,21,48,0
500,68,M,13,2000,2,42,48,1
200,54,K,11,1077,2,180,48,0
300,70,K,13,865,2,125,48,0
300,56,K,11,983.97,0,75,48,0
300,44,K,11,1344.9,1,43,48,4
700,60,K,13,1107,0,12,48,0
200,48,K,11,967.64,1,316,48,4
700,59,M,11,2100,1,184,48,1
200,70,K,13,722.05,1,194,48,0
450,46,K,98,911,2,95,48,0
300,26,K,12,1300,1,5,12,0
300,22,K,12,1500,1,1,2,0
300,51,K,11,1400,2,158,48,5
800,80,M,13,2547,0,192,48,0
500,58,M,16,1528,0,372,48,6
300,49,K,11,992.84,2,118,48,0
600,59,K,13,1400,2,243,48,0
400,69,K,13,1294,0,120,48,0
200,52,K,99,1100,1,48,48,0
800,54,M,13,2800,1,147,48,0
300,75,M,13,1150,0,135,48,28
300,63,M,13,2040,1,141,48,14
400,65,K,13,1125,0,122,48,0
300,72,M,13,960,2,137,48,7
300,63,M,13,1374.08,0,69,48,1
662.69,29,M,11,2837,0,123,48,21
500,65,K,13,1175,0,112,48,0
300,54,K,16,1072.89,2,119,48,0
300,48,M,12,1042,1,2,2,12
200,36,K,12,1382,1,18,23,0
200,41,K,11,1037.34,2,59,48,0
200,78,K,13,1239.98,0,252,48,0
400,46,K,98,2200,2,22,48,0
396.61,60,M,13,1500,2,20,48,1
300,57,K,16,634.64,1,133,48,0
300,63,K,13,1014,0,180,48,7
200,47,K,11,1493.98,1,358,48,0
300,45,K,12,1032,2,35,40,3
380.59,39,K,17,646,0,51,48,3173
820.86,41,M,11,2100,1,281,48,334
356.29,56,K,13,782,0,189,48,209
800,56,K,13,580,2,116,48,2
200,36,K,12,599.03,1,16,18,5
300,70,K,13,1000,1,61,48,0
800,55,K,13,3440,2,48,48,6
400,37,K,11,800.51,1,17,48,13
499.98,35,M,11,2200,2,82,48,18
600,49,K,11,2500,1,230,48,0
600,29,M,12,1300,2,24,41,6
300,54,M,17,798.8,2,146,48,6
500,64,M,16,1473.04,1,162,48,3
500,61,M,11,1250,2,62,48,14
500,61,K,13,750,0,28,48,0
300,65,M,13,2110,2,98,48,0
400,58,K,13,930,1,29,48,436
231.22,52,M,12,1000,2,9,39,437
300,58,K,13,1658,2,26,48,1
200,53,K,16,749.28,2,62,48,2
300,69,K,13,1016,0,186,48,0
600,50,K,11,3200,2,51,48,1
500,32,K,11,3100,2,118,48,0
400,36,K,11,2700,2,118,48,0
393.99,59,M,11,2947,2,50,48,3
300,32,M,11,2100,2,61,48,9
400,68,K,16,980,2,128,48,1
412.72,33,K,11,1400,1,98,48,9
694,38,K,11,1900,2,205,48,3
200,37,M,12,950,1,4,15,3170
328,60,M,12,1000,2,9,10,4
328.32,50,K,12,1000,2,29,29,4
500,62,K,13,1900,2,85,48,1
600,56,M,11,3335,2,430,48,2
377.69,40,K,11,1087,1,235,48,5
700,61,K,13,2066,2,126,48,1
253.12,61,K,13,975,2,24,48,3
500,60,M,11,2250.05,0,173,48,1
300,64,M,12,1100,2,19,35,1
800,61,K,13,1977,0,52,48,3
200,68,K,13,1134.96,2,159,48,16
200,62,M,13,1287.66,1,94,48,2
200,63,M,13,1538,2,98,48,3
300,70,M,13,1426,2,75,48,0
300,55,K,98,980,1,7,48,1
300,45,M,12,670,2,7,11,0
500,43,M,98,3178,2,199,48,2
517.26,58,K,13,1801.41,2,35,48,10
200,74,K,13,1026,2,245,48,1
200,71,K,13,1185.33,2,222,48,0
200,73,M,13,957.2,1,195,48,264
336.83,66,K,13,815,1,142,48,0
400,64,K,13,840,0,111,48,0
285.97,37,K,98,1200,2,43,48,2
200,31,K,12,1032.34,2,2,11,0
300,39,K,12,1027,2,6,48,5
277.34,39,K,11,1770,2,84,48,1
800,62,K,13,3700,2,24,48,0
400,42,M,11,3500,2,25,48,139
200,54,K,11,1400,2,114,48,1
400,45,K,11,763,2,91,48,1
300,57,K,13,1083.23,0,95,48,1
500,62,M,13,1272,1,14,48,270
250,61,M,99,685,2,3,3,4
400,78,M,13,1519,0,251,48,0
200,68,K,13,803.86,2,155,48,1
400,63,M,13,1193.65,1,7,48,1
200,46,M,11,1566.82,0,347,48,0
300,65,K,13,1031,0,119,48,0
400,59,K,13,1149.06,1,159,48,47
400,72,K,13,1412,2,201,48,19
381.29,65,M,13,1591,2,74,48,12
200,64,K,16,755.1,1,132,48,12
327,51,K,11,2065.98,2,176,48,7
300,27,M,12,1400,1,7,23,5
900,34,M,12,1500,0,30,35,0
789.27,63,K,13,860,2,77,48,11
400,53,K,11,2800,2,57,48,3
200,79,K,13,1167.94,0,367,48,0
700,71,M,13,2802,2,245,48,307
200,50,M,16,1045,1,197,48,0
500,58,M,17,1485,2,141,48,3165
300,39,M,11,1300,2,43,48,0
200,62,M,13,1162,2,219,48,2
300,67,K,13,1094,1,182,48,4
200,60,K,13,1635,2,117,48,0
300,62,K,13,917,0,74,48,0
600,67,K,13,2120,2,116,48,3
300,62,K,13,985.9,0,88,48,292
400,62,M,16,1313.41,2,25,48,0
400,63,K,13,1233,1,121,48,0
400,65,M,13,1611,0,139,48,3
200,56,M,13,819,0,55,48,0
500,62,K,13,714,3,220,48,1
500,44,K,11,3000,2,91,48,0
470.41,66,K,13,919,2,139,48,430
600,40,K,98,5000,1,82,48,7
250,40,M,12,700,2,7,23,8
500,72,K,13,951,2,160,48,1
400,64,K,13,1013.74,2,111,48,1
400,58,K,11,1500,1,83,48,1
300,38,K,11,1200,2,188,48,3163
521.49,62,K,13,1525.46,2,34,48,0
700,60,K,13,5100,2,26,48,0
200,24,M,11,2327.94,0,32,48,0
241.15,54,M,12,1030,2,6,24,5
800,46,M,11,2000,0,49,48,0
900,55,K,16,2300,3,60,48,0
400,39,K,12,660,2,9,37,3
300,55,K,12,1009.34,1,27,48,2
200,51,M,12,1030,2,7,48,11
400,56,M,12,1600,0,32,48,0
500,60,K,13,1425,0,77,48,1
281.29,55,K,12,1350,2,20,24,1
200,24,M,12,1000,3,9,24,8
600,53,K,12,1675,2,7,11,2
700,28,M,12,1800,2,8,8,0
200,63,K,13,856,2,55,48,1
300,38,M,11,2700,1,7,48,0
300,66,M,13,1300,1,76,48,345
400,61,K,13,1684,2,17,48,1
200,56,M,11,1800,0,158,48,0
498.47,31,K,12,1600,2,12,12,1
200,75,K,13,616,2,244,48,1
200,61,K,13,984,1,8,48,0
275.97,40,K,11,1000,2,59,48,8
445.67,47,M,12,1574.45,1,29,35,1
300,53,M,11,1700,2,37,48,4
600,47,K,12,830.46,1,43,48,1
200,57,K,16,634,1,49,48,0
300,75,K,13,1160,0,209,48,0
200,57,K,13,1500,2,44,48,0
250,64,M,16,633.56,2,109,48,3160
200,73,M,13,910.33,2,161,48,8
227.13,53,K,12,2000,2,7,25,2
200,57,K,16,703,2,23,48,1
900,58,K,17,684,2,187,48,1
500,71,K,13,640,0,136,48,1
200,74,K,13,965,2,243,48,1
200,64,K,13,802.83,2,199,48,4
400,66,K,13,1137.19,2,94,48,0
800,59,M,11,1000,2,61,48,3
350,63,M,13,1601.87,1,43,48,10
300,77,K,13,1239,2,268,48,1
200,59,K,13,1100,1,41,48,0
400,39,M,11,1261.98,2,34,48,0
300,73,K,16,1138.01,0,4,48,3159
500,60,M,16,837,1,229,48,0
200,46,K,12,990.34,1,53,48,0
800,65,K,13,930,3,128,48,0
400,47,K,11,3170,2,283,48,0
400,47,M,12,600,3,7,27,1
300,26,M,11,1459,0,7,48,5
300,62,K,13,1130,2,101,48,3
300,52,K,16,906.07,0,10,48,263
300,24,M,12,1400,1,10,32,1
300,45,M,11,2100,1,48,48,1
235.97,66,K,13,1428.55,2,135,48,0
500,53,K,16,655,2,29,48,152
300,33,M,11,1800,2,163,48,1
400,62,K,13,1474.55,1,63,48,0
200,51,K,11,1617.68,1,83,48,5
500,63,M,13,1768.93,2,267,48,3159
200,49,M,11,1400,2,12,48,1
900,47,K,11,5800,2,52,48,0
265.58,61,K,13,1189,2,67,48,0
400,55,K,11,1172.2,2,35,48,2
500,62,K,16,1340,2,159,48,6
200,61,M,13,1672.59,1,20,48,0
350,53,K,17,1031,1,49,48,6
500,60,K,13,1000,2,65,48,2
400,56,K,13,1817.24,1,16,48,0
900,58,M,11,1510,2,163,48,151
300,61,K,13,997,2,77,48,0
500,60,K,13,1212,2,51,48,0
300,57,K,11,1680,2,383,48,2
200,67,K,13,720.19,0,91,48,0
600,46,K,11,1700,2,87,48,2
200,79,K,13,1442.43,3,139,48,0
600,57,K,11,1400,2,161,48,188
600,49,K,11,2800,2,316,48,3
369.53,71,K,13,3541.9,0,125,48,2
500,27,K,11,2100,1,20,48,0
600,32,K,11,1290,2,17,48,2
300,38,M,12,1884.29,0,18,23,0
200,71,K,13,730,1,558,48,0
700,42,M,11,2284.23,0,297,48,0
200,68,K,16,959.6,2,113,48,0
200,29,M,99,1393.85,1,2,3,1
717.26,64,M,13,2010,1,135,48,1
200,57,M,13,12220,1,69,48,1
500,65,K,16,892,1,198,48,0
200,46,M,11,1360,3,117,48,0
295.97,51,K,12,1050,1,31,36,0
300,35,K,12,1200,2,6,14,0
300,64,K,13,1210,1,136,48,26
700,52,M,11,3200,2,187,48,0
450,53,K,16,1045.6,3,10,48,0
300,65,K,13,1350,1,109,48,3
600,47,M,11,1800,2,124,48,3156
500,56,K,11,2249.14,2,239,48,18
200,71,K,13,785,2,62,48,0
300,46,M,13,1688.82,1,97,48,2
300,22,M,11,1400,0,22,48,0
400,53,M,11,4000,3,8,48,1
300,30,M,12,1037.34,1,18,23,0
300,19,M,99,750,2,2,5,0
300,57,K,13,611,1,137,48,1
700,74,M,13,2098,2,195,48,0
500,71,M,13,1700,2,12,48,2
300,69,M,13,940,2,51,48,3156
500,51,K,11,1700,2,303,48,4
400,56,M,11,1842.86,1,5,48,0
300,48,M,13,3900,3,28,48,0
426.61,49,K,11,2470,3,352,48,0
500,52,M,11,1320,2,340,48,0
400,39,K,11,1239.05,0,202,48,7
400,64,M,13,1261.6,2,51,48,368
700,37,M,12,3000,0,5,10,34
300,57,K,13,1240,3,68,48,0
550,59,K,13,936,0,29,48,0
200,74,K,13,1026,3,245,48,0
400,43,M,12,1952.35,2,2,11,0
300,43,K,11,1400,3,23,48,4
400,60,K,13,1170,1,76,48,0
300,47,K,11,1077.49,2,369,48,0
496.61,38,K,11,2927,1,199,48,0
800,57,M,12,2500,1,2,3,1
200,20,M,17,985,3,11,11,0
400,61,K,13,1090.14,2,73,48,0
649.84,57,K,11,1680,3,68,48,0
238.78,52,K,11,1700,3,203,48,0
500,69,K,13,1072,3,151,48,5
300,69,K,13,729.03,3,255,48,0
200,63,K,16,1389,2,89,48,0
381.29,70,K,13,1291.18,3,77,48,0
200,57,M,16,763.38,2,209,48,0
900,59,K,13,1370,2,74,48,11
500,52,M,11,2080,3,316,48,15
300,60,M,11,3000,3,210,48,0
300,30,K,11,1373.34,0,56,48,0
200,24,K,17,1200,3,163,48,1
300,52,K,16,685,1,39,48,0
400,65,K,13,850,2,65,48,1
400,54,K,12,1700,3,53,48,0
500,50,K,17,990,3,70,48,13
600,35,K,11,2400,2,111,48,6
296.54,33,M,12,1030,0,3,23,3151
500,67,M,16,1600,1,10,48,0
500,29,K,12,1447,3,19,23,4
300,60,K,13,810,3,31,48,4
400,53,K,11,2368.57,1,408,48,6
378,26,K,11,1500,0,22,48,9
300,45,M,12,1375.47,0,4,8,0
500,49,K,11,4900,1,9,48,0
200,68,K,13,1017,3,159,48,0
600,55,M,16,588,3,420,48,0
200,27,M,12,1136.86,1,9,23,3151
200,65,K,13,910,3,67,48,0
300,21,K,12,1634,1,10,10,3
900,47,M,11,2500,2,202,48,11
200,65,K,13,1216,3,139,48,0
400,61,K,13,1280,3,15,48,0
600,54,K,11,1300,0,66,48,8
450,31,M,11,2700,3,13,48,18
800,59,K,13,1400,2,52,48,1
575.74,32,M,11,2050,3,116,48,7
500,58,M,16,1770,3,87,48,0
400,31,K,12,1865,0,18,21,3
382.44,29,M,11,1888.27,2,75,48,16
300,49,M,12,1000,0,41,48,0
385.97,54,K,11,1721.7,3,118,48,1
700,58,K,13,1872,3,33,48,3
330.68,35,K,11,2709.34,3,179,48,0
400,64,K,13,1015,3,107,48,2
200,53,K,12,984.34,2,16,20,0
300,78,K,13,1239.98,0,253,48,0
500,61,K,13,1200.29,0,20,48,0
200,63,K,13,2113.24,2,59,48,0
600,30,M,11,2700,3,62,48,0
400,58,K,13,1454.91,2,40,48,0
200,70,K,13,907,1,232,48,1
300,73,M,13,1457,2,77,48,293
400,52,K,11,1300,0,32,48,12
400,44,M,12,1963.88,2,4,5,0
500,48,K,11,1800,3,51,48,2
281.29,59,K,11,1906.42,1,210,48,0
500,55,M,13,1900,3,148,48,0
600,61,K,13,1050,3,137,48,0
498.26,35,K,98,4000,3,16,48,2
900,61,K,13,1820,3,67,48,1
300,42,K,99,645.31,0,9,11,418
300,61,K,13,1399.99,1,13,48,1
400,66,K,13,1085,3,164,48,0
400,56,K,11,1730.13,1,191,48,0
500,59,K,13,1650,0,113,48,0
200,56,M,11,1500,2,393,48,294
500,63,M,11,1660,0,48,48,6
200,71,K,13,722.05,2,195,48,0
799.85,32,K,11,2050,1,27,48,11
200,54,M,12,988,0,7,12,271
400,25,M,12,1100,0,31,48,0
600,43,K,11,1443,3,31,48,1
200,26,M,17,728,3,98,48,0
600,54,M,11,2100,0,36,48,3
400,61,M,13,1503,2,163,48,13
500,60,K,13,1362,3,54,48,7
300,58,K,13,1244.77,3,37,48,1
200,51,K,11,932.34,3,393,48,0
300,27,K,11,901,2,38,48,0
200,56,K,17,1100,1,25,33,0
667.26,64,M,13,3040,3,199,48,11
500,32,K,11,3100,3,119,48,0
599.97,43,M,11,3217,1,268,48,3145
300,65,K,13,1125,1,123,48,0
300,65,M,13,2110,3,99,48,0
300,70,K,13,865,3,126,48,3
300,26,K,12,1300,2,6,12,0
400,52,K,16,1362,3,27,48,0
300,22,K,12,1500,2,2,2,0
392.14,63,K,13,1668,3,89,48,2
200,56,K,11,983.97,1,76,48,4
200,30,K,12,980,3,8,10,3
500,36,K,11,1700,2,195,48,3
600,69,M,13,2015.55,1,109,48,429
200,65,M,13,1217,0,49,48,0
200,56,M,13,819,1,55,48,0
200,63,M,16,650.77,0,46,48,3144
600,51,M,12,2673.17,3,110,48,13
231.29,60,K,13,1107,1,13,48,2
600,59,K,13,1400,3,244,48,0
300,57,K,16,634.64,2,134,48,2
400,46,K,98,911,3,96,48,2
300,49,K,11,992.84,3,119,48,3
300,29,M,11,1000,3,55,48,2
450,68,M,13,2000,3,43,48,5
300,74,M,13,1180,0,138,48,0
400,65,K,13,1175,1,113,48,276
500,59,M,11,2100,2,185,48,1
200,36,K,12,1382,2,19,23,0
300,55,K,16,1072.89,3,120,48,0
200,41,K,11,1037.34,3,60,48,23
300,46,K,98,2200,3,23,48,0
200,47,K,11,1493.98,2,359,48,0
400,66,K,13,1062,0,160,48,3142
300,52,K,99,1100,0,49,48,0
376.37,61,M,13,1500,3,21,48,1
600,63,M,13,3100,0,136,48,3142
246.83,44,K,11,1344.9,2,44,48,7
200,50,M,16,1045,2,197,48,0
800,58,K,13,720,0,230,48,2
250,69,K,13,1016,1,187,48,0
200,31,K,12,1032.34,3,3,11,6
200,48,K,11,967.64,2,317,48,2
600,38,K,11,1800,2,50,48,13
800,56,K,13,580,3,117,48,3
296.54,45,K,12,1032,3,36,40,1
400,50,K,11,1577.42,0,203,48,3
400,60,K,16,1411,0,64,48,5
300,54,M,11,1460.17,0,59,48,1
500,60,M,11,2250.05,1,174,48,11
700,61,K,13,2066,3,127,48,2
600,50,K,11,3200,3,52,48,2
300,58,K,13,1658,3,27,48,4
300,52,K,11,1400,3,159,48,0
400,34,K,11,980.11,0,43,48,0
